hr:min:sec 	hr:min:sec 	annotation	layer	index
0:15:07	0:15:59	That’s why Mr. Wischnewski should have made more trips and established more contacts to qualify that situation and the conclusion he reached. In Amsterdam he met with the European socialdemocratic parties and discussed what is an honest, very clear, and valid proposal. This document, according to what they say, is an option among many in a different time, but the proposal Mr. Ungo presents is the one that counts, and it’s the one we recognize as authentically from the Revolutionary Democratic Front y from the Farabundo Marti National Liberation Front.	Interviewee	Schori
0:16:00	0:16:04	What changed in the situation? Is it a strategic change?	Journalist	Seltzer
0:16:06	0:16:19	The Revolutionary Democratic Front and the Farabundon Marti National Liberation Front are committed to a clear and well-defined project.	Interviewee	Schori
0:16:21	0:16:48	Regarding the April 30th meeting European Socialdemocracy in Amsterdam, there was a unanimous acknowledgement of the Salvadoran situation. Was there a consensus regarding the processes in favor of a political solution as suggested by a certain news outlet, did someone side with the European or Latinamerican Christian democracies?	Journalist	Seltzer
0:16:49	0:17:34	No, on the contrary. There is unanimity inside the International Socialists in their solidarity and fraternal support towards the National Revolutionary Movement (MNR) as a member of the International Socialists and the Revolutionary Democratic Front, and we were completely unanimous in the condemnation of the United States’s militaristic policy, and in condemning the military aid and the obstruction to the negotiating process. We continue to propose a political solution, a negotiated solution.	Interviewee	Schori
0:17:35	0:17:56	Why this dedication? Many observers have noticed the European Social Democracy’s interest in Central America. Before now it was Nicaragua, now it’s El Salvador, Honduras, and Guatemala. Would you like to comment on this?	Journalist	Seltzer
0:17:57	0:18:32	Yes, it’s true that we are criticized for dedicating so much of our time to Central America. We are asked why we don’t worry as much about Afghanistan. Our response is that we want to avoid another Afghanistan in El Salvador, another Vietnam. There is a possibility of accomplishing that by mobilizing public international opinion and that of the United States.	Interviewee	Schori
0:18:33	0:19:22	I also want to comment that the election of François Mitterrand has reinforced even further the position of the International Socialists because the French Socialist Party has a very clear political project in regard to Latin America. The very President François Mitterrand has personal ties with many democratic Latin American leaders. Likewise, he was with Salvador Allende and he knows Guillermo Ungo very well. I think that Mitterrand’s election is very important for any weight that France might exercise on Latin American issues.	Interviewee	Schori
0:19:23	0:19:29	(music)	Music	
0:19:30	0:19:57	You’ve heard the first part of an important interview of Pierre Schori, the International Secretary of Sweden’s Social Democratic by journalist Gregory Seltzer. We invite our listeners to continue listening to this important interview tomorrow during our transmission.	Radio Venceremos	
0:19:57	0:20:04	(music)	Music	
0:20:05	0:20:18	This is Radio Venceremos, the official voice of the Farabundo Marti National Liberaton Front accompanying our people in their struggle for peace.	Radio Venceremos	
0:20:19	0:20:37	<i>Ashes are found <br> in the entire departament, <br> ashes <br> from the peasant family houses <br> and their belongings.<br>	Music	Song
0:20:38	0:21:02	In this opportunity, our mobile unit crossed territories controlled by the Francisco Sanchez Eastern Front, crossing over rivers and mountains, until they reached the village of El Junquillo in the department of Morazán, where the dictatorship committed one of its habitual massacres against innocent elderly, women, and children.	Massacre	Morazán
0:21:03	0:21:19	<i>This song<br> That I sing to you<br> Is of burnt houses<br> By the imperialist fire<br> Of the Junta and its Armed Forces. <br> This song<br> That I sing to you<br> Is of burnt houses<br> By the imperialist fire<br> Of the Junta and its Armed Forces.<br>	Music	Song
0:21:20	0:22:15	In these moments, the microphones of Radio Venceremos are in the first house that we found in El Junquillo, where the Butcher of El Junquillo, Capitan Napoleon Medina Garay, carried out one of the most horrific massacres in the history of the department of Morazán. In this moments, we are entering a house that has been totally destroyed, it has not roof, all the roof tiles are on the floor, broken. Everything is burnt. There’s traces of children’s clothing. There’s a comrade that is going to explain to us, he’s going to describe what we’re seeing here. This really is one of the most macabre scenes that we’ve seen in our lives. There are human remains in the form of skeletons. Comrade, tell us, whose house was this?	Massacre <br>Survivor	Morazán
0:22:15	0:22:17	This place belonged to Santos Chica.	Survivor	Chica
0:22:17	0:22:20	Could you describe for what we’re looking at in this moment?	Reporter	
0:22:22	0:22:37	Here we are looking at his remains; the remains of Santos Chica. Those are his pants that we see there, the pants of Santos Chica, the owner of this house. The remains over there are those of his daughter. His daughter must have been 20 or 22.	Survivor	El_Junquillo
0:22:39	0:22:42	Under what conditions did these people die?	Reporter	El_Junquillo
0:22:42	0:22:49	When the enemy penetrated here through the east side, they didn’t give--they didn’t let them leave.	Survivor	El_Junquillo
0:22:51	0:22:52	How many people did they kill here?	Reporter	El_Junquillo
0:22:52	0:22:57	They killed four people here. They killed two women and two strong men.	Survivor	El_Junquillo
0:22:58	0:23:01	Do you know how many children they killed here in this zone?	Reporter	El_Junquillo
0:23:02	0:23:11	Maybe around 40 children. Yes, it’s a lot. You can’t get a precise count because it’s unknown how many, but the dead are a lot.	Survivor	El_Junquillo
0:23:13	0:23:42	We repeat, the scenes that we are seeing at this moment show us the genocidal character of the high military command. Here in El Junquillo, we see the footprint of the beast of what it means for El Salvador to have a dictatorship that has lost all sense of humanity, that desperately assassinates peasants, women, and children, whether they’re organized or not.	Reporter	El_Junquillo
0:23:42	0:23:50	(music)	Music	El_Junquillo
0:23:51	0:23:53	Compañero, where did they find the body of the young woman?	Reporter	El_Junquillo
0:23:54	0:24:05	We found it right here next to the bed. I suspect that they took her from the bed to kill her and to do who knows what else they did to her, probably raped her, because we found her remains next to the bed.	Rape	El_Junquillo
0:24:06	0:24:20	<i>I want punishment<br> I want punishment<br> I want punishment<br>	Music	Song
0:24:22	0:24:52	Now we are the second burnt house here in El Junquillo. This is where Napoleon Medina Garay ordered the assassination of a barely two-day-old baby. Everything is destroyed, absolutely everything--beds, chairs. Nothing is whole here, nothing is in its perfect state.	Reporter	El_Junquillo
0:24:53	0:25:07	What happened here is that they killed the lady on the grate. She was around 80 years old. They killed her daughter-in-law who had given birth two days prior. They killed her and her baby.	Survivor	El_Junquillo
0:25:08	0:25:12	Was it here where they found a two-day-old baby with a machete run through him?	Reporter	El_Junquillo
0:25:13	0:25:13	Yes.	Survivor	El_Junquillo
0:25:14	0:25:22	We continue seeing burnt houses everywhere throughout the territories of El Junquillo.	Radio Venceremos	
0:25:23	0:25:38	In that house over there they killed a family of seven; they killed the mother, too. In this house over here, they killed nine. In that other house over there, they killed six, five, four children.	Survivor	El_Junquillo
0:25:39	0:25:58	<i>Ay, ay,<br> We saw no one pass,<br> The dark night swallows<br> The torrential cries.<br> Ay, ay, <br> The motherland,<br> Is crying.<br>	Music	song
0:25:59	0:26:08	At this moment, Radio Venceremos has found a few female comrades, survivors of the killing at El Junquillo. With us now is comrade Marlene.	Reporter	Morazán
0:26:08	0:26:15	Marlene, could you tell us for Radio Venceremos what family you lost here in the El Junquillo Massacre?	Reporter	Morazán
0:26:16	0:27:20	Yes, I lost my mother, Francisca Díaz, who was 44 years old, my sister Juanita Diaz who was 22, and Santa Diaz, who was 20, Priscilla del Carmen Chica, who was six, Jose Dolores Diaz, who was three-years-old, Jose Arnoldo Pereira who was four months old, Tomasa Hayde, who was two months old, Simona Diaz Pereira, who was nine years old, Magdalena Pereira, who was three, Isnever Moises Pereira, who was two years old, and some of my uncles, too, Jose Eulalio Chica, who was 30 years old, Petronila Claro, who was 39 years old, and also--what was the name of those children?--Delfina Diaz, who was ten years old, and Anibal Diaz, who was two years old.	Survivor	El_Junquillo
0:27:21	0:27:24	Tell us how everything happened.	Reporter	El_Junquillo
0:27:24	0:27:48	All those people were first raped and then killed with knives, they slit all those people’s throats, they say, All those North Americans that were with Napoleon Medina Garay. Yes, and that’s how they kill all those young babies, and also a two-day old baby girl. Her name was Dominga Diaz.	Survivor <br>Rape	El_Junquillo
0:27:49	0:28:01	(music)	Music	
0:28:03	0:28:04	What’s your name?	Reporter	El_Junquillo
0:28:05	0:28:05	Juan Tito Díaz.	Survivor	El_Junquillo
0:28:06	0:28:08	Tell us, did you, too, lose your family in El Junquillo?	Reporter	El_Junquillo
0:28:09	0:28:10	I lost seven.	Survivor	El_Junquillo
0:28:11	0:28:12	Seven from your family?	Reporter	El_Junquillo
0:28:12	0:28:26	Yes. Guillermina Díaz y mi hermana María Santos Díaz, Margarito Díaz, José Antonio Savaldía Díaz, Isabel Díaz, Carlos Otilio Díaz, and Juan Ernesto Díaz.	Survivor	El_Junquillo
0:28:28	0:28:28	Who was responsible?	Reporter	
0:28:29	0:28:29	Spies from Cacaopera.	Survivor	Morazán
0:28:31	0:28:32	¿From Cacaopera? ¿Along with Medina Garay?	Reporter	
0:28:33	0:28:33	Yes.	Survivor	
0:28:33	0:28:38	(music)	Music	
0:28:39	0:28:50	In that same massacre they killed José Santos Chica, Tomasa Romero, Felipa, Chica, Chabela Chica, Antolin Chica.	Survivor	El_Junquillo
0:28:51	0:29:00	While the dictatorship talks of elections, our country talks about the reality of death and repression that El Salvador lives.	Political Context	
0:29:01	0:29:31	Eugenia Romero and a boy named Chepe Romero and Bernardino Romero, Leopoldo Chica, Agencia Romero. I only remember the ones I remember. A lot of people that I didn’t even know died, so I’m not counting them. Everyone they found in the houses were terminated, without leaving any family or anything.	Survivor	El_Junquillo
0:29:32	0:29:43	(music)	Music	
0:29:44	0:29:59	Over there, in that little house they found Vajina and María, and Ivan Santos, and further down, behind there, they killed Filomena, and even further down, they killed another lady, Tránsito. They were all old. They were elderly.	Survivor	El_Junquillo
0:30:00	0:30:03	In this house that we’re passing, they also killed there. How many people?	Reporter	El_Junquillo
0:30:04	0:30:05	They killed five there.	Survivor	El_Junquillo
0:30:05	0:30:17	(music)	Music	
0:30:18	0:30:36	Now we’re crossing the El Chupadero river. We continue to move across the El Junquillo village and see the desolate landscape, the burnt houses, the human remains.	Reporter	Morazán
0:30:37	0:31:16	In this opportunity we’ve found a peasant from this area, and his name is Filadelfo. In these moments we’re arriving at a house were his wife and children lived. It’s a return to a painful memory that Filadelfo has wanted to make so he could show the world all the horror and the entire genocidal nature of what happened in this area of El Junquillo. Comrade, tell us how many people lived in this house.	Reporter	El_Junquillo
0:31:17	0:31:23	Here they really killed ten. They killed them there, see.	Survivor	El_Junquillo
0:31:24	0:31:26	Your wife died. Who else?	Reporter	El_Junquillo
0:31:27	0:31:36	Yes, my wife and another lady, the mother of a friend. Another sister, too, and her daughter. They kill them both here.	Survivor	El_Junquillo
0:31:36	0:31:37	¿How many of your children did they kill?	Reporter	El_Junquillo
0:31:38	0:31:38	They kill three of my children.	Survivor	El_Junquillo
0:31:39	0:31:39	What ages were your children?	Reporter	El_Junquillo
0:31:40	0:31:44	Well, one of them was nine years old, another was four, and there was the two-month-old boy.	Survivor	El_Junquillo
0:31:45	0:31:45	A two-month baby?	Reporter	El_Junquillo
0:31:46	0:31:46	Yes.	Survivor	El_Junquillo
0:31:47	0:32:23	<i>Small daughter of mine,<br> Forgive me for falling silent,<br> But this silence <br> is also a scream<br> That reaches all men in the town,<br> That in the early morning<br> Left their lives to make possible<br> Your dream,<br> Daughter of mine.<br>	Music	Song
0:32:25	0:32:32	With us is another comrade survivor of the massacre of El Junquillo. Comrade, tell us how everything happened.	Reporter	El_Junquillo
0:32:33	0:32:43	Well, comrade, the soldiers descended and attacked them without giving them time to leave.	Survivor	El_Junquillo
0:32:44	0:32:45	And that the 12th of March?	Reporter	El_Junquillo
0:32:46	0:32:58	Yes, that was the 12th of March. Without being able to run. We men fled, but for the women and children it was impossible because, as you well know, children can’t run.	Survivor	El_Junquillo
0:33:00	0:33:04	Why did many of the people not run when the soldiers arrived?	Reporter	El_Junquillo
0:33:06	0:33:30	As I said, we were lied to. They told us that the soldiers brought foreign journalists and that they couldn’t kill defenseless women and children in front of journalists. I speak of Capitan Medina Garay, yes, him. He made them get close when he came here.	Political context	El_Junquillo
0:33:31	0:33:37	Now we are here with a girl survivor also of the El Junquillo Massacre. What’s your name?	Reporter	El_Junquillo
0:33:38	0:33:39	Victoria Chica.	Survivor	El_Junquillo
0:33:41	0:33:45	Tell us, Victoria. How did all of this happen in El Junquillo?	Reporter	El_Junquillo
0:33:46	0:34:28	They came to massacre all those people, and what they did is to kill them with a knife. First, they say that a few groups passed there, by my father’s house, and they didn’t do anything. They left all those people alone. We saw they put a fence down here, that house they fenced in and they didn’t let the people out. Death was waiting for those that were fenced in.<br> My father used to say--Of course, when the first group passed he ran away from the house, he didn’t wait. Only my mother stayed there, and she told him that was going to stay and that he should leave.	Survivor	El_Junquillo
0:34:28	0:34:32	(Slight scraping sound)	Sound Effects	Sounds
0:34:32	0:34:36	How many people in your family did Medina Garay assassinate?	Reporter	El_Junquillo
0:34:37	0:34:49	Six. My mother was Rosa Otilia Diaz. Agustina Chica, Matildita Chica, Rosa Delia Chica, Mariano Chica, and Pedrito Chica.	Survivor	El_Junquillo
0:34:51	0:34:53	And you were able to flee before the soldiers arrived?	Reporter	El_Junquillo
0:34:53	0:34:58	Yes, I got out because she told me to, and so I couldn’t stay in the house.	Survivor	El_Junquillo
0:34:59	0:35:01	(crackling fire)	Sound Effects	Sounds
0:35:01	0:35:03	I’m sorry, your maicillo is burning. What do you want for El Salvador?	Reporter	El_Junquillo
0:35:03	0:35:07	(scraping)	Sound Effects	Sounds
0:35:11	0:35:15	Well, I’d like it to become a free country.	Survivor	El_Junquillo
0:35:16	0:35:17	How old are you?	Reporter	El_Junquillo
0:35:18	0:35:18	How old?	Survivor	El_Junquillo
0:35:19	0:35:19	Yes.	Reporter	El_Junquillo
0:35:20	0:35:20	Thirteen years.	Survivor	El_Junquillo
0:35:23	0:35:24	What does a liberated country mean for you?	Reporter	El_Junquillo
0:35:27	0:35:31	To live happily without bloodshed.	Survivor	El_Junquillo
0:35:31	0:35:42	(scraping sounds and woman speaking in the background)	Efectos de sonido	Sounds
0:35:43	0:36:53	<i>Small daughter of mine, <br> Who barely begins to feel <br> the passage of time on your girl’s skin<br> And to look at the prints on your firm hands,<br> That kiss mine before sleeping. <br> <br> Small daughter of mine,<br> I love you so much<br> I don’t want to bequeath you the pain of my days,<br> That is why I propose and I’m determined happiness<br> That I sow with my song and it will become your cornstalk,<br> And it will become your cornstalk. <br> <br> Small daughter of mine, <br> When you ask me <br> Who owns the earth? Who owns poetry?<br> Who owns bitterness? Who owns the smile?<br> I kiss your eyes with the utmost tenderness. <br> <br> Small daughter of mine, <br> I must explain to you<br> That the struggle is hard, <br> But the wound is less painful when it is--<br>	Music	Song
0:36:54	0:37:01	From El Salvador, Central America, a territory in combat against oppression and imperialism.	Radio Venceremos	
0:37:02	0:37:16	Radio Venceremos, the official voice of the Farabundo Marti National Liberation Front, transmits its signal of liberty from El Salvador, Central America.	Radio Venceremos	
0:37:17	0:37:28	(music)	Music	
0:37:29	0:37:33	“The Creative Powers of our People.”	Poderes Creadores del Pueblo	Poderes_Creadores
0:37:34	0:39:11	<i>Aída, we are the same.<br> The days pass,<br> We continue to be at war, <br> De same as Aquino,<br> De same as Modesto Ramírez,<br> My war, your war.<br> The bullets pass,<br> De ones of death and pain are the same.<br> We continue to be at war,<br> That of Ama, of Sanchez,<br> The war that brought Oscar Arnulfo and Chacón,<br> And Córdoba, of Agustín, Farabundo,<br> Comrade, it’s the same one.<br> De one of protests and of funerals,<br> They’re the same ones. <br> Arms and legs and shoulders and feet, <br> They’re the same ones.<br> At a gallop, they’re the same ones.<br> The faces with eyes that throw lances at a gallop,<br> Over the historic güiscoyol of the same souls,<br> They’re the same ones.<br> Except for today there aren’t enough streets,<br> Or parks,<br> Or mountains,<br> For us,<br> The same ones,<br> Loud Pipiles in protest and at a gallop.<br> Working men,<br> Laboring fists,<br> Women who smell of vegetables in the marketplaces.<br> There isn’t any space in this small country for the peasant,<br> Heart of golden grain,<br> We continue at war,<br> Our same unique song is heard everywhere.<br> Peace, peace, and we are the same.<br>	Poetry	Poem
0:39:12	0:39:18	(music)	Music	
0:39:19	0:39:23	This is the Creative Powers of our People.	Poderes Creadores del Pueblo	Poderes_Creadores
0:39:24	0:39:31	(music)	Music	
0:39:32	0:39:41	Up next, Radio Venceremos presents, Plomo Informativo against the dictatorship’s information siege.	Plomo Informativo	Plomo_Informativo
0:39:42	0:41:00	Here is our first information. The university counsels of the United States consider the necessity of not inviting government official to the graduation ceremonies or any other activities to prevent them from having bad experiences. <br> On Saturday, May 23rd, in several universities of the country, the advisor to the president, Secretary of State Alexander Hair and a US ambassador to the United Nations, were targets of student protests for their Yankee foreign policy, particularly the policy pertaining to El Salvador. President Advisor Erwin Leub, was invited to speak at the Law School at the University of San Ysidro, California. He was interrupted when a hundred students from outside the auditorium shouted, “No to the draft! No to the War! Get out of El Salvador!”<br> More information when we reunite without militias on the ground.	Internacional	USA
0:41:00	0:41:47	The Band Tepehuani tours through Europe.<br> The Band Tepehuani, a testimonial music group of our country carries out a tour through Europe. They had four concerts in France. In Great Britain, they visited several cities. Afterward, they had two performances in Belgium. Presently, they are in Germany where they will carry out a country-wide tour. Later, they will travel to Sweden, Denmark, and Finland. The concerts have proven the European people’s solidarity with our people’s struggle and the rejection of the United States' intervention in El Salvador’s internal issues.	International	Tepehuani
0:41:48	0:42:20	Next, information on Paris, France.<br> The President of France, François Mitterrand tapped writer and journalist Regis Debray as his foreign policy advisor. Debray, who is 40 years of age, has a degree in Philosophy from the Univeristy of Soborna and he has an advanced education from the Superior National School, both of which are in Paris. He is part of the French Socialist Party since 1973.	International	Debray
0:42:21	0:42:48	Regis Debray was with Commander Ernesto “Che” Guevara during the struggle in Bolivia. In his last trip to Latin America, Regis Debray gave his complete support to the Salvadoran people’s struggle for peace and democracy against the military dictatorships that have oppressed the country for the past 50 years.	International	Debray
0:42:49	0:43:22	Washington. A large concentration of hundreds of North American citizens with hundreds of representatives from Black, juvenile, and other union organizations protested in this city against the racist terror in Atlanta under the slogan, “Save our people. Put an end to racist murders, protect our Atlanta youth, and No to the Salvadoran junta.”	International	USA
0:43:23	0:43:39	While the United States states help the Salvadoran junta, it neglects the North American people to the extent that it permits racists and neo-fascists to wander freely throughout the North American territory.	International	USA
0:43:41	0:44:22	More information. Thugs from the dictatorship assassinate two union leaders in San Salvador. <br> The workers Carlos Ibrian Resinos and Jose Alirio Martinez were assassinated this past Tuesday, May 26th, by police officers dressed as civil society, according to reports by factory workers from the candy factory Delicia. The police officers were controlling the workers' entrance, inconspicuously posted in front of the factory when the unionists arrived. They shot them at point-blank range.	Casualties	Unions
0:44:23	0:45:10	Carlos Ibrian Resinos, worked as the Secretary of Finances, and Jose Alirio Martinez Martinez as the General Secretary of the union. We strongly condemn and repudiate the dictatorship’s new attempt against the Salvadoran working class. At the same time, we join in solidarity with our comrades of the sweets and pasta industry union against this regime’s abuses, and we encourage them to continue forward in the struggle for their revindications and for a revolutionary and democratic government.	Political Context	Unions
0:45:11	0:45:22	<i>…united, will never be defeated!<br> The people, united, will never be defeated!<br> The people, united, will never be defeated!<br>	Music	Song
