time in 0:hr:min:sec	time in 0:hr:min:sec	Annotations	Layer
0:06:52	0:07:03	And now, Captain Francisco Emilio Mena Sandoval, a member of the Military Youth of the National Army, opines about the election's fraude.   	Radio Venceremos
0:07:04	0:07:29	What kind of democracy is this? Our country definitely cannot have elections because there isn't an trustworthy Government that can guarantee them. The people are tired of this deception and today, besides declaring, "Enough of these election frauds!", it also fights with fire arms in its hands for true liberty, a democratic and revolutionary government, which will be guaranteed by an army of nine teams which will be comprised by the forces of the Farabundo Martí for the National Liberation Front and the Military Youth, and which will constitute an iron-clad guarantee for the governement and the Salvadoran people.  	Invited Speaker
0:07:50	0:08:07	The proclamation by the Military Youth and by the Farabundo Martí for the National Liberation Front marks the point of departure toward peace in our fatherland and it marks a historical revolutionary committment for and by the people.  	Invited Speaker
0:08:09	0:08:21	Military patriot: The people are first. Join us. Fight. Liberty and fatherland. Military Youth of the Salvadoran Army. 	Invited Speaker
0:08:23	0:09:03	<i>Ashes are found <br> in the entire departament, <br> ashes <br> from the peasant family houses <br> and their belongings. <br> Ashes are found <br> in the entire departament, <br> ashes <br> from the peasant family houses <br> and their belongings. <br> <br> They [the army] have burned magueyes, <br> and also sugarcane <br> and green coffee plants, too.<br> And tree <br> have been left <br> consumed by the imperialist fire, <br> reduced to small quantities of ash<br> that the wind is taking<br> to the United States <br> to cover with evil <br> the murderer president's eyes<br>   	Music
0:09:04	0:09:13	This is Radio Venceremos, the official voice of the Farabundo Martí for the National Liberation Front. 	Radio Venceremos/FMLN
0:09:14	0:09:24	Transmiting its signal of liberty from El Salvador, Central America, a territory in combat agains oppresión and imperialism. 	Radio Venceremos
0:09:25	0:09:33	(Instrumental music)	Music
0:09:34	0:09:38	This is The Creative Powers of the People. 	Radio Venceremos
0:09:39	0:09:56	(Instrumental music)	Music
0:09:57	0:10:24	In The Creative Powers of the People, today we have the text by revolutionary poet, Roque Dalton. His creative power is present in our fight, and from his body of work we've chosen "The policemen and the Guards." 	Poetry
0:10:25	0:15:15	They always saw the people as a mass of backs running away<br> as a field on which their clubs fell with hatred.<br> <br> They always saw the people with an eye on sharpening their aim<br> and between the people and their eye, the sight of a pistol or a rifle.<br> <br> (They too were once of the people<br> but with the excuse of hunger and unemployment<br> they accepted a weapon, a club and a monthly salary<br> to defend the makers of hunger and unemployment.)<br> <br> They always saw the people enduring<br> sweating<br> shouting<br> raising placards<br> raising fists<br> and what’s more telling them:<br> “Dog sons of whores, your day will come.”<br> (And with every passing day<br> they figured they’d done a great thing in betraying the people from which they were born:<br> “The people are a mass of cripples and fools —they thought—<br> it’s great we’ve gone over to the side of the clever and strong”).<br> <br> And then the trigger was squeezed<br> and bullets went from the side of the cops and guards<br> to the side of the people<br> they always went that way, from there to here<br> and the people fell bleeding week after week and year after year<br> broken-boned<br> they wept through the eyes of the women and children<br> fleeing in terror<br> ceasing to be a people to become a fleeing mob<br> disappearing every man for himself to his house<br> and then there was nothing left<br> but the fireman hosing the blood off the streets.<br> <br> (The colonels finished up by convincing them:<br> “That’s the way it is guys—they said—<br> hard and to the heads of the civilians<br> fire on the rabble<br> you are uniformed pillars of the Nation<br> priests of the first rank<br> in the cult of the flag, the shield, the hymn, the Fathers,<br> representative democracy, the official party, the free world<br> whose sacrifices the decent people of this land won’t forget<br> though we can’t give you a raise today<br> though of course we’d like to”).<br> <br> They always saw the people<br> convulsive in the torture chamber<br> hanged<br> beaten<br> broken<br> swollen<br> asphyxiated<br> raped<br> ears and eyes pricked with needles<br> electrified<br> drowned in piss and shit<br> spit-upon<br> degraded<br> their last remains giving off little froths of smoke<br> in a hell of quicklime.<br> <br> (When the tenth National Guard was found dead, killed by the people<br> and the fifth cop was roughed up by the urban guerrilla<br> the cops and the National Guard began to think,<br> especially because the colonels had already changed their tune<br> and laid the guilt for today’s failure on “these rotten troop recruits we have”).<br> <br> The fact is the cops and the guards<br> always saw the people from there to here<br> and the bullets only traveled from there to here.<br> Let them think about that a while<br> let them decide whether it’s too late<br> to seek the people’s side<br> and shoot from there shoulder to shoulder with us.<br> <br> Let them think about that a bit but meanwhile<br> they shouldn’t be surprised<br> let alone offended<br> now that some bullets<br> have begun to reach them from this side<br> where it’s still the same people as always<br> except now with their heads held high<br> and each time with more rifles.<br>	Poetry
0:15:16	0:15:23	(Instrumental music)	Music
0:15:25	0:15:29	In <i>The Creative Powers of the People<i>, Roque Dalton. 	Radio Venceremos 
0:15:30	0:15:50	(Instrumental music)	Music
0:15:51	0:16:07	Radio Venceremos, the official voice of the Farabundo Martí for the National Liberation Front broadcasts its radio signal of freedom from El Salvador, where an entire people fights against oppression. 	Radio Venceremos/FMLN
0:16:08	0:16:33	<i>We will give our lives for the fatherland because we will endure liberty. The fatherland in this land we will overcome. Working, day by day, we will live. No more tyrants and assassins.	Music
0:16:34	0:16:56	In these moments, Radio is receiving War Report number 121 from the information section of the Farabundo Marí for the National Liberation Front’s General Command addressed to their heroic combatantants and the Salvadoran people, and to all peoples of the world.	Radio Venceremos
0:16:58	0:17:01	The Modesto Ramirez Central Front Report, 	Report
0:17:02	0:17:20	On May 16th, at nine at night, the FMLN forces attacked teams of soldiers dressed as civilians in Hacienda Las Pilas in the village of Potrero Grande.	Combat
0:17:21	0:17:24	We caused the enemy casualties.	Casualties
0:17:25	0:17:52	For our part, we retreated after we completed this operation without suffering any casualties. On the 17th of May at nine at night, the patriotic forces of the FMLN carried out an attack on the Death Squadron in San Martin Street in Suchitoto.	Radio Venceremos
0:17:54	0:17:58	We caused two enemy casualties with this action.	Casualties
0:17:59	0:18:14	Our forces continue with the hostile actions which with we continue to inflict on the forces of the genocidal army, which thinks it can vacate us from the regios of Suchitoto, Guazapa,  	Combat
0:18:15	0:18:34	 and with activities of sabotage on the plumbing of Suchitoto's water network. This happened in the are of Nixtamalapa. This action destroyed the plumbing, thus leaving the Suchitoto quarter's without water.   	Sabotage
0:18:35	0:18:50	As a complement to this action, our guerrilla squads left a booby trap with a bomb that exploded when the enemy intended to inspect the zone.   	Combat
0:18:51	0:18:56	This action caused five enemy casualties. 	Casualties
0:18:58	0:19:17	On May 18th at 9:00 AM, the Farabundo Martí for the National Liberation Front initiated combat with patroling enemy forces in the cantons of La Ceiba, Valle Nuevo, Valle Viejo, and Buenavista.  	Combat
0:18:18	0:19:28	With this action, we caused four enemy casualties. FMLN casualties: one combatant. 	Casualties
0:19:29	0:19:49	That same day, at 5:00 PM, revolutionary forces conducted a stalking ambush against an army's armored truck that transported  ammunition and supplies to the enemy forces stationed in Canton El Roblar. 	Combat
0:19:50	0:20:01	We carried out this action on the new street in San Rafael and caused the puppet army two casualties.  	Casualties
0:20:02	0:20:28	On May 19th at 11 hours, FMLN guerrilla comandos fought against patrols belonging to the Death Squadrón in Canton Santa Anita, jurisdiction of Tenancingo, department of cuscatlan, 40 kilometers from San Salvador.    	Combat
0:20:30	0:20:33	One enemy casualty was reported in this combat. 	Casualties
0:20:34	0:21:30	At sixteen hours, the genocidal army proceeded with its policy of death, destruction and scorched earth that dictated the eight group of Special Forces Coommand of the Yankee Army, and it attacked the Bermuda Hacienda in the zone of Suchitoto, Guazapa. This attack was carried out by a truck, a small tank, and army soldiers that shot eight 81-millimeter morters agains Canton Tenango. No casualties were reported in in the people’s lines. Simultaneously, however, another force tried to penetrate Canton San Francisco, which is controlled by the patriotic forces of the FMLN,	Combat
0:21:31	0:21:37	the result of the combat were two enemy casualties. 	Casualties
0:21:38	0:22:09	In Chalatenango, on May 24th, the Popular Army of the FMLN continues its labors of hostility close to the towns of Arcatao and San Antonio Los Ranchos. An FMLN column made up of fifty men penetrated that same day in Canton Los Amates, Department of Chalatenango, thus coming in hostile contact with enemy forces.	Combat
0:22:11	0:22:12	Report of the Anastasio Aquino Paracentral Front	Report 
0:22:13	0:23:15	On May 23rd, FMLN guerrilla comandos attacked the enemy posts in Canton Potrero Grande, in the Department of Cabañas. In this operations, the FMLN forces mined the field and impeded enemy free movement while also anihilating its forces. This action was carried out in the following manner: The hostilities began at 8:20 PM with artillery barrage from the FMLN against enemy forces. This provoked the enemy to haphazardly flee. At 9:00 PM, the FMLN squad of combat engineers retired after mining the field.  	Combat
0:23:16	0:23:19	At 10:30 PM, enemy partrols fell unto one of the mines, and the number of their casualties is currently unknown. 	Casualties
0:23:20	0:23:29	In the department of La Paz, patriotic forces ambushed a convoy of the genocidal army in close proximity to Zacatecoluca.	Combat
0:23:30	0:23:39	Two casualties were the result of this operation besides leaving a vehicle damaged y out of commission.	Casualties
0:23:40	0:23:51	On this same date, guerrilla commandos attached the local command post of the township of Santiago Nonualco in the department of La Paz. 	Combat
0:23:52	0:23:59	With this operation we caused three enemy casualties, two deaths and one wounded. 	Casualties
0:24:00	0:24:14	The Francisco Sanchez Eastern Front Report. On May 24th, in the department of Morazán, around the area of Delicias de Concepción, there was a combat for over three hours.	Report
0:24:15	0:24:21	The FMLN forces caused the enemy several casualties. 	Casualties
0:24:22	0:24:34	When the combat was at its strongest point, fifty soldiers of the dictatorship haphazarly fled to the township of Delicias de Concepción in Morazán.	Combat
0:24:35	0:24:47	Seven wounded of the dictatorship were the result of this action, among them a captain with fractured legs.	Casualties
0:24:48	0:25:10	United to fight until the final victory. Revolution or death, we will prevail. San Salvador, 25th of May 1981. Information Section from the General Command of the Farabundo Martí Front for the National Liberation.	Radio Venceremos/FMLN
0:25:11	0:25:27	<i>Come, Salvadoran, let's fight, our fatherland awaits for your freedom, for your freedom, for your freedom.  	Music
0:25:28	0:26:00	In San Salvador, the capital hurt by the dictatorship’s repression, despite martial law and curfew, despite the groowing militarization of the streets and other public places, our companions, workers, students, women from the marketplaces, hovel residents, militiamen and combatants operate day and night in liberating campaigns that harass and erode the enemy forces. 	Report
0:26:00	0:26:38	The enemy is determined to say that our actions are acts of terrorism. Our people know that this is not the case. This is about the continuity of our just fight for national liberation. This is about the popular response to the crime and repression of the genocidal junta. Forward, comrades of San Salvador. The combatants of the Francisco Sanchez Eastern Front greets you. The present is one of fighting. The future is ours.	Political context
0:26:39	0:27:01	<i>It's a fight that lasts years, and that is very costly. For decades, thousands of companions for paid with their lives the premium and first payments of our freedom.	Music
0:27:02	0:27:45	<i>Comrade Jacinto, Pedro, Juana, or whatever-your-name-is, you joined the ranks of the ones who never die, of the ones who are always present in the actions of every man and woman in the struggle, of all the tortured, of those who live with hunger, of those who survive by dying in hovels. Comrade, friend of justice, your struggle, and also your death, will bear fruit one of these days. Comrade, the dawn of a new day approaches, a day full of peace, of love and of justice.	Music
0:27:46	0:28:08	Fellow worker within the walls of your factory, the slogan is Radio Venceremos, from six to seven (AM), and from six to seven (PM) Radio Venceremos. Expression of the Popular Power over territories controled by our people in arms.	Radio Venceremos 
0:28:09	0:28:24	<i>We will prevail, <br> we will prevail. <br> A thousand chains <br> will have to be broken. <br> We will prevail, <br> we will prevail.<br> 	Music
0:28:25	0:28:47	Up next, we will present an interview with a comrade, a former member of the Civil Guard, who listened to the call of the Farabundo Martí for National Liberation Front and laid down his weapon at the taking of Villa El rosario on April 16 of the current year. Let’s listen to his witness account about the repression.	Interview
0:28:49	0:28:59	(The attack) happened because the FMLN forces had taken the villa (El Rosario), and they said that they were going to go in to where the Torola police had entered first.	Interview
0:29:02	0:29:20	They killed whoever they caught there. They killed nineteen, among them children and the elderly just because they were refugees and others from the same town they had them on a list to kill, but among the nineteen that they killed were children, elderly people, and women that were nursing.	Casualties/Violence against children
0:29:22	0:29:32	And there, around five days later was the story in the newspaper about a confrontation in El Rosario Villa where nineteen guerrillas had died and that (the army) had not suffered any casualties.	Political context
0:29:33	0:29:33	And this was in what month? 	Interviewer
0:29:34	0:29:56	In January. And I said to myself, “Fuck, that’s how they’re lying to these people.” And I said, “and here I am, one of them, being an accomplice to these huge massacres.” That’s when I became convinced that it was very true. Of course, the huge massacres that they commit are in front of us.	Interview
0:29:57	30:05:00	So, in Villa El Rosario the army assassinated nineteen people, and then they made it seem as if they were--	Interviewer
0:30:06	0:30:16	As guerrillas, and since they were elderly, children, and nursing women, that's were I was convinced, when I realized what we were burying.  	Interview
0:30:16	0:30:18	Do you remember any of the names of the dead?	Interviewer
0:30:19	0:30:22	Yes, only one, his name was Federico Marquez. He was from the center (of town).	Interview
0:30:23	0:30:24	But you saw the bodies?	Interviewer
0:30:25	0:30:40	Yes, I saw them. One had his teeth out, others were beheaded, which is how they assassinated Federico; a machete wound in the back of the neck they gave him, and they left him half-alive, and he had to finish dying on his own. Then, well, there was this officer, too, and he was stationed there. 	Interview
0:30:41	0:30:41	What was his name?	Interviewer
0:30:42	0:30:42	His name was Grande García.	Interview
0:30:43	0:30:45	Grande García.	Interviewer
0:30:46	0:31:19	Yes, of course. There was a huge loss of control with that particular police officer from Torola because he was already there, see? And he already knew everyone (in the town). So then, Liutenant Grande, Mr. Quito, and that one that returned told them of Torola, “Fuck, you guys,” he said, “you’re all massacaring people, and how,” he said, “are we going win?” he said. “What? You must be a subversive,” they told him. “Sure,” he said to them, “If I’m a subversive,” he said to them, “here’s my equipment and everything,” he said, “kill me.”  	Interview
0:31:21	0:31:43	Right now, it’s a weakness that they have. Some of them like to massacre (people), and other are at this moment on the people’s side, and maybe they’re there because of the salary or because of some obligation that they have with high command, or the high commanders put them there.  	Interview
0:31:43	0:31:50	So, you're saying there's a contradiction in the army itself. There's officers and soldiers that are conscious of the massacres.	Interviewer
0:31:51	0:32:37	There are some that do not agree with going around massacring the people, and others that do (agree). I would make a calling to all of those officers, cadets--I was a sergent--liutenants, second liutenants, that I have known them, that they are not assassins, that they do come for the people, that they should leave those ranks, that they should join our people, that they will be received well here.  And it’s not just anyone who’s telling you this, but it’s someone who has sone it, and who is seeing it, and who has lived through it, and I’ve surrendered here, and I have served as a witness as the best comrade-- 	Interview
0:32:38	0:33:06	I feel very happy to be here because they had us deceived, and although they say they’re winning, that the revolutionary forces are made up by two or three and that they’re losing. That’s how they have many people deceived. It’s when one becomes aware that one can no longer be deceived, and if there are any deceived I want it to be clear, stop letting them deceive you. Our people will never lose.	Interview
0:33:07	0:33:14	<i>…will never be defeated. A people united, will never be defeated. 	Music
0:33:15	0:33:36	We have heard the testimony of Santiago Argueta Sanchez, a former member of the Civil Guard who heeded the calling of the Farabundo Marti for National Liberation Front and laid down his weapon at the taking of Villa del Rosario on April 16th of this year and thus joined the people’s struggle.	Radio Venceremos
0:33:37	0:34:02	<i>Your song and your flag will see<br> The light bloom in the face of a dawn <br> Announcing the life that will come<br> Marching on foot, the people will triumph<br> The life that will arrive will be better<br> To conquer our happiness<br> And in one shout<br> 	Music
0:34:03	0:34:20	These are the words of a young Salvadoran who held the weapons the dictatorship gave him and who today bears the weapons of the people. It is a reflection of what is happening in the middle of the Armed Forces. 	Political context
0:34:21	0:35:11	It’s the awakening awareness of those who belong to the exploited classes and who have remained deceived by the criminal high military command, those who have been recruited by force or out of necessity have remained in the army and at the service of the oppresion. Those peasant soldiers have begun to open their eyes, have begun to question the trenches they have occupied. They have begun to ask themselves, “Why do I fight?” “Who do I serve?” “For whom am I sacrificing my own life?”	Political context
0:35:11	0:35:58	In Jucuaran, department of Usulután, soldiers of the third brigade refused to fight against the forces of the Farabundo Marti for National Liberation Front. In Torola, five police of the tax office (Hacienda) abandoned their their posts with their issued weapon and equipment. The same thing is happening in the entire country. Soldiers who have become aware of the misery that they’ve since their roots, (they’ve also become aware) of the repression which they themselves have executed as blind instruments of the oligarchical power and of imperialistic designs.	Political context
0:35:59	0:36:22	Soldiers have their own combat post with their own people, and those who have made that decision and have joined our ranks have been well received, by their brethren of class, with the respect and brotherhood that all have come to know. 	Political context
0:36:24	0:37:04	We showed this recently in the case of soldier Santos Enrique Diaz Alvarenga, the third brigade of San Miguel. And now we have just heard the testimony of Santiago Argueta Sanchez, a former civil guard in Villa del Rosario. In this town when our forces too the enemy’s possession’s, Santiago Argueta Sanches deposed his weapons in response to our combatants’ calls (to join their ranks), and he laid down his weapons and joined our forces.	Political context
0:37:05	0:37:38	He immediately expressed his sincere and conscientious desire to join the ranks of the people, and the statements that he has declared to us reiterate what we all already know, that in the National Army there are profound challenges between the military high command and officers, classes, and soldiers that are do not agree with the genocide.  	Political context
0:37:39	0:38:04	On the other hand, to make these challenges even more acute, within the National Army young officers most likely cannot  how Yankee military adviser the day to day take over the lion’s share of the military operations agains the people, thus giving it everyday a more criminal nature.	Political context
0:38:05	0:38:44	The case of the soldiers that disobeyed the order to fight against the opposition forces of the Farabundo Marti for National Liberation Front, that is to say, the opposition forces of the people, moves us to encouraging reflections on what is happening in the center of the army, in addition to the fact that they’ve been unable to garner any military victory in all their operatives against our positions in the entire national territory. 	Political context
0:38:45	0:39:13	While this is all happening, the people are joining the militias, they are joining their (own) army, they are integrating into the cornfields of the people to produce the sustenance for the revolutionary army. They consolidate the zones under their control while the dictatorship lives its worse moment.  	Political context
0:39:14	0:39:51	Each day, the people is becoming more convinced that victory is within the reach of their united and persevering hands. Hope overwhelms us all, and that is why we close our fists, and we are achieving victory with combat blows. That is, today more than ever we have the conviction that we will prevail, which means that soon we will conquer peace and social justice for our people.	Political context
0:39:52	0:40:15	<i>...work,<br> they will go,<br> they will cover the fatherland.<br> Now its way<br> announces the future.<br>  <br> On foot, singing,<br> the people will triumph.<br> Now millions<br> impose the truth,<br> they're made of steel<br> the scorching battalions,<br> their hands go...<br>	Music
0:40:16	0:40:24	From El Salvador, Centroamérica, a territory in combat against opression and imperialism. 	Radio Venceremos
0:40:25	0:40:37	Radio Venceremos transmits. The official voice of the Farabundo Marti for National Liberation. Breaking the dictatorship’s information siege.	Radio Venceremos/FMLN
0:40:38	0:40:54	<i>The people, united, shall never be defeated<br> The people, united, shall never be defeated<br> The people, united, shall never be defeated<br> 	Music
0:40:55	0:40:56	And now we present... 	Radio Venceremos 
0:40:57	0:40:59	Global Information!	World Report
0:40:59	0:41:12	(Machine gun fire)	Sound effects
0:41:12	0:41:49	 The Revolutionary Democratic Front [FDR] and the Farabundo Marti for National Liberation Front [FMLN] extend condolences for the passing of President Jaime Roldos. With the tragic death of the President of Ecuador, Jaime Roldos, which occurred this past Sunday in an airplane accidente, in which also died six other people, including the president’s wife and the Minister of Defense, the FDR and the FMLN sent their condolences to the Ecuatorian people and its government. 	World Report
0:41:50	0:42:11	Through this communiqué we express our condolences to these organizations for the aforementioned event. This communiqué is signed by Commandor Ana Guadalupe Martinez, on behalf of the politico-diplomatic commission of both organizations.	World Report
0:42:12	0:42:37	The message says the following, “Profoundly dismayed by the tragic passing of President of Ecuador, Dr. Jaime Roldos Aguilera, his wife, and the Defense Minister. The FDR [Revolutionary Democratic Front] and the FMLN present their condolences to the Ecuatorian people. 	World Report
0:42:38	0:42:45	Because of the dictatorship's information siege, Radio Venceremos is on the air, informing our people. 	World Report
0:42:46	0:43:19	 Alexander Haig, repudiated by the Northamerican people. In a cable sent by the France-Presse news agency, the Northamerican Secretary of State, Alexander Haig, while he delivered a violent speech about the alleged interference of the Soviet Union in matters of the Third World at a university in Connecticut, several hundreds of people protested their opposition to Haig’s policies, particularly in regards to our country. 	World Report
0:43:20	0:43:53	Additionally, the news agency asserted that while Haig spoke, a group of protesters called him a murderer. The students, according to the report, were quickly expelled from the theater where Haig delivered his speech. The cable also added that at the beginning of the speech, twenty-something university faculty left the facility and in that way express their opposition to the United State’s foreign policy.   	World Report
0:43:53	0:44:04	Mexico, Federal District. Radio Venceremos, official voice of the Farabundo Marti for the National Liberation Front, transmits clearly to that country.	World Report
0:44:05	0:44:28	  Furthermore, the Committees for Solidarity for El Salvador in Mexico have expressed to us that they have great activity, and they’ve received mass response from the Mexican people, siempre a friend to our just cause. More information through Radio Venceremos. 	World Report
0:44:29	0:44:42	Four members of the genocidal army died and several others were wounded by a mine explosion found in a stony hill in Zacatecoluca, in the south of San Salvador.  	Casualties
0:44:43	0:45:00	According to reports from the regime's spokespeople, three of the dead were members of the repressive army of El Salvador, who were getting ready to take away the boulders that blocked the way when the bomb that combatants of the Paracentral Anastasio Aquino Front had placed exploded. 	Combat
0:45:01	0:45:04	(Machine gun fire)	Sound Effects
